Physical Conditions Disappear After Writing Solemn Statements Regretting Disrespectful Remarks,Các vấn đề về sức khoẻ biến mất sau khi viết nghiêm chính thanh minh
Ms. Wang from Liaoning Province Persecuted for Her Faith,Bà Vương đến từ tỉnh Liêu Ninh bị bức hại vì đức tin kiên định
"Kindergarten Owner Intercepted at Train Station, Detained for One Week and Counting","Chủ nhà trẻ bị chặn tại nhà ga xe lửa, bị giam 1 tuần và hiện vẫn đang bị giam giữ"
72-Year-Old Man Indicted for His Faith in Falun Gong,Cụ ông 72 tuổi bị truy tố vì tu luyện Pháp Luân Công
Police Beat Two Older Women and Attempt to Fabricate Evidence Against Them,Cảnh sát đánh đập hai người phụ nữ lớn tuổi và âm mưu ngụy tạo bằng chứng chống lại họ
Police Beat Two Older Women and Attempt to Fabricate Evidence Against Them,Cảnh sát đánh đập hai người phụ nữ lớn tuổi và âm mưu ngụy tạo bằng chứng chống lại họ
I Met Many Who Understood the Facts About Falun Gong While in Police Stations and Prisons,Tôi đã gặp nhiều người minh bạch chân tướng về Pháp Luân Công khi ở trong đồn công an và nhà tù
From the Last to the First in Class,Từ hạng chót đến hạng nhất lớp
"Crimes of Fan Lyubing, Director of the Chinese Prison Administration Bureau, in Persecuting Falun Gong","Tội ác của Phạm Lý Băng, cục trưởng Cục Quản lý Nhà tù Trung Quốc, trong cuộc bức hại Pháp Luân Công"
Guangdong Man Appeals Nine-year Prison Sentence for Mass Texting Falun Gong Messages,Người đàn ông Quảng Đông kháng cáo bản án 9 năm tù vì gửi tin nhắn về Pháp Luân Công cho hàng loạt người
Two Elderly Men Given Heavy Prison Sentences for Their Faith in Falun Gong,Hai người đàn ông bị kết án nặng vì tu luyện Pháp Luân Công
"Additional Persecution News from China – July 17, 2023 (2 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 17 tháng 7 năm 2023 (2 báo cáo)
Déjà vu of Cultural Revolution: Woman Denies Having Ever Known Her Husband After Being Detained for Less Than One Year,"Tái hiện ký ức Cách mạng Văn hóa: Chưa đầy một năm sau khi bị giam giữ, người phụ nữ phủ nhận việc quen biết chồng mình"
After Serving Five Labor Camp Terms Ms. Lang Dongyue from Beijing Is Sentenced to Nine Years in Prison for Practicing Falun Gong,"Bắc Kinh: Sau 5 lần thụ án ở trong trại lao động, bà Lang Đông Nguyệt lại bị kết án 9 năm tù vì tu luyện Pháp Luân Công"
"Hubei Man Given Second 4-Year Term for His Faith, Tortured to Blindness in Custody",Người đàn ông Hồ Bắc bị kết án 4 năm tù lần 2 vì kiên định đức tin đã bị tra tấn đến mù lòa trong khi bị giam giữ
72-Year-Old Man Sentenced to Nine Years for Mass Texting Falun Gong Messages,Người đàn ông 72 tuổi bị kết án 9 năm tù vì gửi tin nhắn có nội dung về Pháp Luân Công
"76-Year-Old Woman Sentenced to 7 Years, Now Hospitalized for Unknown Health Issues",Người phụ nữ 76 tuổi bị kết án 7 năm hiện đang nhập viện vì những vấn đề sức khỏe không rõ nguyên nhân
Hubei Government Employee Sentenced to One Year for Putting Up Falun Gong Posters,Một công chức ở tỉnh Hồ Bắc bị kết án 1 năm tù vì treo biểu ngữ về Pháp Luân Công
,Nghiêm chính thanh minh của 31 học viên
"Woman Loses Appeal Against Wrongful Conviction, Husband Given Runaround While Trying to File Motion to Reconsider Her Case","Người phụ nữ bị kết án oan sai, người chồng cố gắng nộp đơn kháng cáo bị gây khó dễ"
"Police Falsifies Woman’s Date of Release to Be Legally Compliant, Refuses to Dismiss Criminal Case Against Her","Cảnh sát ghi sai ngày trả tự do của người phụ nữ để hợp pháp hóa, từ chối bác bỏ vụ án hình sự đối với bà"
"Twice Jailed for a Total of 12 Years, Beijing Man Gets Third Prison Term (15 Months) for His Faith","Sau hai lần bị bỏ tù trong tổng thời gian 12 năm, người đàn ông tại Bắc Kinh lãnh án tù thứ ba (15 tháng) vì đức tin của mình"
"Once Jailed for 7 Years, Gansu Man Gets Another Six Years for His Faith","Sau khi bị bỏ tù 7 năm, người đàn ông Cam Túc bị kết án thêm 6 năm vì đức tin của mình"
Ms. Qiu from Guangdong Province Dies at 44 Less Than Two Years After Being Arrested for Her Faith,Bà Khâu Sở Yến ở Quảng Châu đã qua đời ở tuổi 44 do bị bức hại
Righteous Colleagues at My School,Những người đồng nghiệp liêm chính ở trường tôi
"Once Jailed for 5 Years, Heilongjiang Woman Faces Trial Again for Her Faith in Falun Gong","Từng bị tù oan 5 năm, người phụ nữ ở Hắc Long Giang lại một lần nữa bị xét xử chỉ vì đức tin vào Pháp Luân Công"
"Once Jailed for 14 Years, Former College Lecturer Gets Another 5 Years for Her Faith in Falun Gong","Từng bị bỏ tù 14 năm, cựu giảng viên đại học nhận thêm 5 năm vì niềm tin vào Pháp Luân Công"
83-Year-Old Woman Loses Appeal Against Wrongful Conviction for Her Faith,Cụ bà 83 tuổi thua kháng cáo chống lại bản án oan sai vì kiên định đức tin
Two Henan Women Jailed for Their Shared Faith in Falun Gong,Hai người phụ nữ Hà Nam bị cầm tù vì có chung tín ngưỡng vào Pháp Luân Công
Liaoning Woman Tried for Her Faith in Falun Gong,Một phụ nữ ở Liêu Ninh bị xét xử chỉ vì tu luyện Pháp Luân Công
Japan: Visitors to Hiroshima Poster Exhibition Find an Answer to a Fundamental Question,Nhật Bản: Du khách thăm quan Triển lãm Áp phích ở Hiroshima tìm ra lời giải cho một câu hỏi căn bản
76-Year-Old Grandmother Detained for Her Faith for Two Months and Counting,Bà cụ 76 tuổi đang bị giam 2 tháng qua vì kiên định đức tin vào Pháp Luân Công
Healthy Woman Becomes Incapacitated with Mental Disorders After Serving Nine Months for Her Faith,Từ một người khỏe mạnh bị bức hại đến mứcrối loạn tâm thần sau 9 thángvì kiên định đức tin vào Pháp Luân Công
Jilin Woman Given Three Years for Writing to Government Official and Urging Him to Stop Persecuting Falun Gong,Một phụ nữ Cát Lâm bị phạt ba năm tù vì đã viết thư cho một quan chức chính phủ và kêu gọi ông ngừng bức hại Pháp Luân Công
"Appeals Court Overturns Guilty Verdicts Against Six Falun Gong Practitioners, Trial Court Hasn’t Scheduled Retrial After Three Months","Tòa phúc thẩm hủy bỏ bản án có tội đối với sáu học viên Pháp Luân Công, Tòa sơ thẩm chưa lên lịch xét xử lại sau ba tháng"
"Qinhuangdao City, Hebei Province: Three Targeted for Supporting a Practitioner Facing Prosecution for Their Shared Faith in Falun Gong","Thành phố Tần Hoàng Đảo, tỉnh Hà Bắc: Ba cư dân bị nhắm đến vì hỗ trợ một học viên sắp bị truy tố có cùng tín ngưỡng vào Pháp Luân Công"
"Shaanxi Woman Jailed After Losing Appeal Against 4.5-Year Prison Sentence, Denied Family Visits in Prison","Kháng cáo bất thành, người phụ nữ Thiểm Tây bị bỏ tù 4,5 năm, gia đình bị từ chối thăm thân"
Belated News: Hunan Man Dies in 2021 While Serving 8 Years in Prison for His Faith,Tin muộn: Người đàn ông Hồ Nam qua đời năm 2021 khi đang thụ án tù 8 năm vì tu luyện Pháp Luân Công
"Yunnan Woman Missing for 19 Months and Counting, Possibly Arrested and Sentenced for Her Faith","Người phụ nữ Vân Nam mất tích 19 tháng qua, có khả năng bà đã bị chính quyền bắt giữ và kết án vì kiên định đức tin"
Heilongjiang Woman Serving Six Years for Her Faith in Same Prison Where She Was Previously Jailed for 1.5 Years,"Người phụ nữ Hắc Long Giang thụ án 6 năm trong cùng nhà tù mà trước đây bà đã từng bị giam cầm 1,5 năm, cũng vì kiên định đức tin"
"Small Business Owner Admitted to Prison After Losing Appeal, Denied Family Visits","Kháng cáo thất bại, một tiểu thương bị bắt vào tù, gia đình bị từ chối thăm viếng"
Elderly Woman Beaten to Unconsciousness in Prison for Refusing to Renounce Her Faith,Bà lão 72 tuổi bị đánh bất tỉnh trong tù vì từ chối từ bỏ đức tin
Hosting Shen Yun in the Dominican Republic for the First Time,Lần đầu tiên tổ chức Shen Yun tại Cộng hòa Dominica
Vocational School Teacher Sentenced to 4.5 Years for Her Faith,Một giảng viên trường dạy nghề bị kết án tù phi pháp 4 năm rưỡi vì đức tin của mình
Vocational School Teacher Sentenced to 4.5 Years for Her Faith,Một giảng viên trường dạy nghề bị kết án tù phi pháp 4 năm rưỡi vì đức tin của mình
Trial Court and Appeals Court Both Commit Dereliction of Duty in Convicting Woman for Her Faith in Falun Gong,Toà sơ thẩm và phúc thẩm kết án phi pháp một người phụ nữ chỉ vì đức tin của bà vào Pháp Luân Công
"Jiangxi Woman Hospitalized Multiples Times Since Arrest in Mid-March, Still Denied Bail","Một người phụ nữ Giang Tây phải nhập viện nhiều lần sau khi bị bắt vào giữa tháng 3, nhưng vẫn không được tạm tha y tế"
Single Father Loses Appeal Against Second Prison Sentence,Người cha đơn thân thua kháng cáo chống lại án tù thứ hai
"Yunnan Court Secretly Sentences Two Men for Their Faith, Refuses to Count Time Already Spent in Detention Toward Prison Terms","Tòa án Vân Nam bí mật kết án hai người đàn ông vì đức tin của họ, không tính thời gian tạm giam vào thời hạn án tù"
"Jiangxi Woman Threatened with Prison Sentence and Pension Suspension, for Urging a Police Chief to Stop Persecuting Falun Gong",Người phụ nữ Giang Tây bị đe dọa kết án tù và đình chỉ lương hưu vì khuyên trưởng công an ngừng bức hại Pháp Luân Công
Cell Supervisor Shouted “Falun Dafa Is Good”,Giám thị phòng giam hô “Pháp Luân Đại Pháp hảo”
My Husband No Longer Has Fear of the Police,Chồng tôi không còn sợ cảnh sát
Devout Buddhist Turned Falun Gong Practitioner Loses Appeal Protesting Heavy Sentence for His Faith,Một Phật tử nhiệt thành trở thành học viên Pháp Luân Công thất bại trong việc kháng cáo án tù nặng vì đức tin của mình
Shandong Man Appeals Second 3-Year Sentence for His Faith in Falun Gong,Người đàn ông Sơn Đông bị kết án 3 năm lần 2 vì tu luyện và hiện đã kháng cáo
Shandong Woman Sentenced to Four Years for Writing to Friends about Falun Gong,Người phụ nữ Sơn Đông bị kết án 4 năm tù vì gửi thư có nội dung về Pháp Luân Công cho bạn bè
Police Drop Case Against 78-year-old Falun Gong Practitioner,Cảnh sát hủy bỏ vụ án chống lại một học viên Pháp Luân Công 78 tuổi
"68-Year-Old Woman Secretly Sentenced for Her Faith, Now Suffering Poor Health in Prison","Người phụ nữ 68 tuổi bị kết án bí mật vì kiên định đức tin, sức khỏe bị suy giảm ở trong tù"
“Your Father Will Be Fine!”,“Cha của con sẽ ổn thôi!”
Japan: Poster Exhibition Held in Hiroshima Exposes Forced Organ Harvesting in China,Nhật Bản: Triển lãm áp phích tổ chức tại Hiroshima phơi bày tôi ác cưỡng bức thu hoạch nội tạng ở Trung Quốc
Five Residents in Same District Sentenced to Prison Since 2022 for Their Shared Faith in Falun Gong,Năm cư dân trong cùng quận bị kết án tù vì đức tin của họ vào Pháp Luân Công kể từ năm 2022
Woman in Her 70s On Hunger Strike Since Mid-June to Protest Arbitrary Detention for Her Faith,Cụ bà trên 70 tuổi tuyệt thực từ giữa tháng 6 để phản đối việc giam giữ tùy tiện vì đức tin
"Suihua City, Heilongjiang Province: One More Targeted in a Group Arrest Confirmed to Have Been Sentenced to Prison","Thành phố Tuy Hóa, tỉnh Hắc Long Giang: Thêm một học viên trong vụ bắt giữ tập thể bị kết án tù"
"72-Year-Old Woman Sentenced to Nine Years and Four Months, Now Bedridden in Prison with Intense Gallbladder Pain","Người phụ nữ 72 tuổi bị kết án 9 năm 4 tháng tù, hiện đang nằm liệt giường ở trong tù và đau túi mật dữ dội"
"Lanzhou City, Gansu Province: Two More Targeted in a Group Arrest Face Trial, One More Faces Indictment","Thành phố Lan Châu, tỉnh Cam Túc: Thêm hai mục tiêu trong vụ bắt giữ tập thể, một người khác phải đối mặt với bản cáo trạng"
Guizhou Woman Tortured to Paralysis While Jailed for Her Faith,Người phụ nữ Quý Châu bị tra tấn đến bại liệt trong thời gian bị giam vì đức tin
"Once Jailed 9 Years, Jilin Man Gets Another 3.5 Years for His Faith in Falun Gong","Từng bị cầm tù 9 năm, người đàn ông Cát Lâm chịu án tù 3,5 năm vì tu luyện Pháp Luân Công"
Guizhou Woman Tortured to Paralysis While Jailed for Her Faith,Một phụ nữ Quý Châu bị tra tấn đến bại liệt trong thời gian bị giam vì đức tin
Liaoning Man Given Second Prison Term for His Faith in Falun Gong,Người đàn ông Liêu Ninh bị kết án tù lần thứ hai chỉ bởi tu luyện Pháp Luân Công
Four Senior Falun Gong Practitioners Arrested or Harassed by Same Police Station,Bốn học viên Pháp Luân Công lớn tuổi bị bắt hoặc sách nhiễu bởi cùng một đồn cảnh sát
"Additional Persecution News from China – July 14, 2023 (17 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 14 tháng 7 năm 2023 (17 báo cáo)
Tianjin Woman Admitted to Prison after Losing Appeal for Wrongful Conviction,Một phụ nữ Thiên Tân bị đưa vào tù sau khi kháng cáo không thành bản án tù oan sai
Twice Jailed Man Detained Again for His Faith in Falun Gong,Người đàn ông từng bị tống giam hai lần lại bị bắt giam vì đức tin vào Pháp Luân Công
36-year-old Man on Hunger Strike Following Latest Arrest for Practicing Falun Gong,Người đàn ông 36 tuổi tuyệt thực sau lần bị bắt gần đây nhất vì tu luyện Pháp Luân Công
"Crimes of Zheng Wanxin, Former Captain of Shandong Province No. 2 Labor Camp",Tội ác của cựu đại đội trưởng Trịnh Vạn Tân của Trại Lao động Cưỡng bức Số 2 tỉnh Sơn Đông
"Wife Sentenced for Her Faith, Husband Jailed for Seeking Her Release","Một người phụ nữ bị kết án vì kiên định đức tin, người chồng bị cầm tù vì cố gắng tìm kiếm tự do cho vợ"
15 Falun Gong Practitioner Deaths Due to Persecution Reported in July 2023,Báo cáo tháng 7 năm 2023: 15 học viên Pháp Luân Công qua đời do bị bức hại
Hebei Man Resuscitated in Hospital After Being Tortured in Prison,Một cư dân Hà Bắc phải cấp cứu hồi sức ở trong bệnh viện vì bị tra tấn ở trong tù
"Guangdong Man Loses Appeal Against Wrongful Conviction, Still Awaiting Response to His Complaints Against Perpetrators","Kháng cáo chống lại bản án oan của một cư dân Quảng Đông bị bác bỏ, hiện anh vẫn đang đợi phản hồi về đơn kiện các thủ phạm đã bức hại mình"
"Cancer-Stricken Woman Not Given Medical Attention Until after Her Trial, Still in Detention Serving Five-Year Sentence",Một người phụ nữ bị bệnh ung thư nặng nhưng không được chăm sóc y tế cho đến sau phiên tòa xét xử bà và vẫn bị kết án 5 năm tù giam
"65-Year-Old Woman Paralyzed After 4 Years of Imprisonment, Dies 16 Months Later","Nữ học viên 65 tuổi sau 4 năm giam cầm đã bị liệt, và qua đời sau đó 16 tháng"
Liaoning Man Given Second 4-Year Prison Term for His Faith in Falun Gong,Người đàn ông tỉnh Liêu Ninh bị kết án 4 năm tù lần thứ hai vì kiên định đức tin
Guangdong Woman Has Finger Slit and is Sexually Abused After Being Arrested for Her Faith,Người phụ nữ Quảng Đông bị cảnh sát dùng dao cứa ngón tay và lạm dụng tình dục sau khi bị bắt giữ vì kiên định đức tin
"Procuratorate and Court in Qiaoxi District in Shijiazhuang City, Hebei Province Actively Prosecute Falun Gong Cases","Thành phố Thạch Gia Trang, tỉnh Hà Bắc: Viện Kiểm sát và Tòa án quận Kiều Tây tích cực khởi tố các vụ án Pháp Luân Công"
Shanghai Woman Sentenced to Fifteen Months for Advising People on How to Stay Safe in the Pandemic,Người phụ nữ Thượng Hải bị kết án 15 tháng tù vì thiện ý nói cho người dân về cách giữ an toàn tính mạng trong đại dịch
"Fukuoka, Japan: Poster Exhibition Exposes the Chinese Communist Regime’s Live Organ Harvesting","Fukuoka, Nhật Bản: Triển lãm áp phích phơi bày nạn thu hoạch nội tạng sống của Đảng Cộng sản Trung Quốc"
Ms. Zhang Yonghong Taken to Brainwashing Center Less Than Two Weeks After Serving 7-Year Prison Term,Cô Trương Vĩnh Hồng bị đưa tới trung tâm tẩy não sau khi cô mãn hạn án tù 7 năm chưa đầy 2 tuần
"Three Heilongjiang Residents, Including a Married Couple, Sentenced to Prison for Practicing Falun Gong","Ba cư dân Hắc Long Giang, trong đó có một cặp vợ chồng, bị kết án tù chỉ vì tu luyện Pháp Luân Công"
"Once Jailed for 8 Years, 74-Year-Old Woman Gets Six Years and Ten Months for Her Faith in Falun Gong","Từng chịu 8 năm oan ngục, cụ bà 74 tuổi lại bị kết án 6 năm 10 tháng vì kiên định với đức tin"
The Police Read the Minghui Website in My Home When the Persecution Started,Cảnh sát đọc Minh Huệ tại nhà tôi khi cuộc bức hại bắt đầu
Two Stories of People Blessed By Their Belief in Falun Dafa,Hai câu chuyện về những người được ban phúc nhờ tin tưởng Pháp Luân Đại Pháp
